name,ctype,appliesTo,effect,description
Network: Entertainment,Network Definition,Influencer network,Categorization,"Entertainment-celebrity figures whose platform is cultural rather than political, with subcategories: Sports, Music, Film, TV & Media. Outsized reach to non-political audiences. Tracked with network = 'Entertainment' + a subcategory. (Sophie Cunningham, John Rocker, LeBron, Messi -> Sports; Nicki Minaj, Bieber -> Music; Paris Berelc -> Film.)"
Rubio-vs-Vance preference weighting,Inclusion Signal,All people,Lean pro / lean caution,"Proxy for GOP-wing alignment. RUBIO preference (hawkish, pro-Israel-alliance wing) = POSITIVE signal, lean pro. VANCE preference (America-First / restraint wing) = a CAUTION signal to weigh, not disqualifying. Counts BOTH explicit statements AND evidenced indicators: publicly allying with, working for, being endorsed by, or associating with Rubio's core allies, friends, family, institutions, companies, staff, donors, and partners is treated as a proxy Rubio-preference signal even without a direct quote. Investigate the associational graph, don't wait for an explicit endorsement."
Connected to Sun Valley Policy Forum,Inclusion Signal,All people,Lean pro / add,Affiliation with the Sun Valley Policy Forum is a positive network signal worth adding and researching.
Connected to Creative Community for Peace,Inclusion Signal,Influencer network,Lean pro / add,"Creative Community for Peace mobilizes the entertainment industry against cultural boycotts of Israel (anti-BDS). Any affiliation is a strong pro signal, especially for entertainment/creative figures."
Posted positively about Sen. Lindsey Graham,Inclusion Signal,All people,Lean pro,Positive public posting about Lindsey Graham (a leading pro-Israel hawk) is a proxy signal for pro-Israel-alliance alignment. Investigate and lean pro.
Uses 'Judeo-Christian' positively/neutrally,Inclusion Signal,All people,Lean pro,Using the term 'Judeo-Christian' in a positive or neutral connotation signals alignment with the shared-heritage framing at the core of BFT's mission. A soft but meaningful inclusion signal.
Featured by The Genesis Prize Foundation,Inclusion Signal,All people,Strong pro / add,"Anyone featured, honored, or platformed by The Genesis Prize Foundation is a strong pro-Israel/Jewish-community signal -- add and lean pro."
Follows Libs of TikTok,Inclusion Signal,Grassroots network,Add to grassroots,Following Libs of TikTok is a grassroots-level right-alignment signal. Such followers are filed to the Grassroots network as rank-and-file coalition members.
Connected to Advancing American Freedom,Inclusion Signal,All people,Lean pro / add,"Advancing American Freedom (Mike Pence's org, pro-Israel policy positions) affiliation is a positive signal -- add and research the connection."
Associated with a16z / Founders Fund,Inclusion Signal,Business network,Add / research,Andreessen Horowitz and Founders Fund are the anchor 'Tech Right' VC firms with heavy pro-Israel and pro-West orientation. Associates are added to the Business network and researched.
RealLindellTV / CUFI-summit alignment,Inclusion Signal,Influencer network,Lean pro,"Part of Mike Lindell's RealLindellTV network, or appearance at the CUFI (Christians United for Israel) Summit, is a positive coalition-alignment signal."
Connected to Jerry Falwell Jr.,Inclusion Signal,All people,Add / research,"Connection to Jerry Falwell Jr. (Liberty University network, historically strongly pro-Israel evangelical) is a positive signal to add and research."
Ally-expansion rule,Methodology,All people,Expand the graph,"When an ally is VERIFIED, also capture their surrounding graph as leads: current company, past companies, key connections, friendly interviewers/interviewees, friends, and family. Each becomes a candidate entry or research note -- allies are nodes, not endpoints."
Ally links rule,Methodology,All people,Record links,"When an ally is ADDED, record all their internet/social links (X, Instagram, TikTok, YouTube, LinkedIn, Facebook, Truth Social, personal sites) in the Links field so outreach and monitoring never have to re-find them."
Organizations vs Businesses split,Methodology,All entities,Categorization,"Entities are split into two tabs: ORGANIZATIONS (NGOs, nonprofits, think tanks, universities, media outlets, campus networks) and BUSINESSES (companies, VC firms, the ally B2B/commerce network, government trade bodies). People in business roles carry network='Business' in the Influencer tab."
Anti-Muslim rhetoric NOT auto-flagged,Flag Rule,All people,Policy change,"Per Andy's direction (Jul 2026), anti-Muslim rhetoric alone is NOT grounds for a yellow/red flag; affected entries (Robert Spencer, Amy Mek) reclassified pro with documented context retained in evidence. Conduct/criminal/safety flags are unchanged (Tommy Robinson's red flag stands on convictions and conduct, not rhetoric)."
Evidence-links rule,Methodology,All people,Cite evidence,"When possible, attach LINKS to the concrete evidence behind an ideological classification -- e.g., the specific social-media post and its sentiment toward allies/adversaries, a voting record, an interview clip, an org bio. Stored in the Links / evidence / source fields. Goal: make each stance/score auditable back to a source (the Liberty Score principle -- decomposable and clickable, not a gestalt)."
Ally org/company rule,Methodology,All entities,Expand to entities,"When an ally is added, also add the organizations and companies they lead/found/work for as their own entries (Organizations or Businesses tab), linked via the Related field. Extends the ally-expansion rule from people to institutions so the Ecosystem Network graph captures the full org web. (Backfill for existing allies is an ongoing manual-investigation task.)"
Manual-investigation queue,Methodology,All people,Flag + track to-do,"When an entry needs human follow-up (unverified identity, thin profile, a bulk source to process, a merge to confirm), flag it in the Suggested Follow-Up Research field (amber card note) AND track it as a to-do. Bulk sources awaiting processing are logged on their hub entry (e.g., IAF Top-50 2021-2024 on the Israel Allies Foundation entry). Do NOT fabricate entries to clear a queue -- stage them honestly."
Bulk-source manual-investigation queue (open),To-Do,All people,Pending research,"OPEN QUEUE (as of Jul 2026): (1) IAF 'Israel's Top 50 Christian Allies' for 2024, 2023, 2022, 2021, and the original edition -- process, dedup, add net-new [2025 DONE]. (2) Systematic org/company backfill for all previously-added allies per the Ally org/company rule. (3) Verify flagged unknowns: Hyun-bo Son, Jeremy Ballinger, Pastor Troy Jackson, Pastor Carlos Luna, Pastor Jacques Kangudia, Carlos Duran (Hombres de Palabra) merge-check."
Criticism of Graham / Cruz = yellow flag,Flag Rule,All people,Yellow flag / caution,"Public criticism of Senators Lindsey Graham or Ted Cruz (leading pro-Israel-alliance hawks) is a CAUTION signal indicating the America-First/restraint wing -- yellow-flag and monitor rather than treat as pro. The mirror image of the Rubio-preference positive signal. (Andrew Kolvet, Blake Neff / the post-Kirk Charlie Kirk Show.)"
Enemy vs. Rival distinction,Methodology,All people,Refines coalition logic,"Distinguish ENEMIES (actively hostile to Jews/Israel -- Fuentes, Candace Owens, Joel Webbon) from RIVALS (compete for the same audience/coalition space but are not hostile -- rival conservative outlets, competing pastors, other GOP factions). BOTH transitive rules apply: enemy-of-my-enemy = friend, AND rival-of-my-rival = friend. A rival of our rival is a recruitment target, not a threat. This REFINES (does not replace) the enemy-of-my-enemy CAUTION rule -- still verify the actual reason for the conflict before scoring (the Cernovich/MTG feud was about her resignation, not antisemitism)."
Voluntary vs. paid anti-antisemitism advocacy,Scoring,All people,Boost voluntary,"BOOST non-Jewish voices who speak against antisemitism/anti-Zionism VOLUNTARILY over those who likely did so as a paid engagement. Voluntary indicators (score UP): said it on their OWN platform unprompted; on a non-Jewish/secular platform; to a hostile or indifferent audience; at personal or professional cost; unsolicited on social media. Paid/prompted indicators (discount): keynote at a Jewish-org gala, sponsored content, honorarium events, appearances where the ask was the occasion. Rationale: voluntary advocacy on their own turf proves conviction AND reaches new audiences; a paid speech to an already-convinced room proves neither. (Seth Dillon attacking Tucker/Candace on his own platform = voluntary, scored 92.)"
Claude proactive-addition rule,Methodology,All entities,Claude adds unprompted,"Claude should PROACTIVELY add people/orgs meeting our criteria by connecting the dots -- not only names Andy supplies -- with justification + evidence, marking provenance in the Added By field (Andy / Claude (proactive) / Collaborator). Everything added before Jul 2026 is stamped Added By = Andy. Proactive adds still meet the evidence bar: no fabrication; unverifiable ones get flagged, not invented."
Connection-yield tracking,Methodology,All entities,Measure network mining,"Every entity card shows: (a) AUTO-COUNTED ally links -- how many other tracked entities it connects to, computed from the same edge logic as the Ecosystem Network graph; (b) Yield Status -- Untapped / Partially mined / Well mined / Exhausted; (c) Remaining potential -- what else is reachable through that node. Purpose: make it visible which allies are unmined leads vs. fully worked, so expansion is targeted rather than random."
Backlog maintenance (standing rule),Methodology,All entities,Log every gap,"Any request that is blocked, partial, unbounded, unverifiable, or declined MUST be logged in the Backlog/To-Do tab with the reason and the concrete next step -- never silently dropped. This prevents invisible misses: a Jul 2026 audit found 6 explicit asks never added, and 80 orgs named in evidence with no entry."
Nationality ranking: American allies rank highest,Scoring,Influencer network,Boost American / discount Israeli,"RANK ORDER for influencer value: (1) AMERICAN natives who support Israel = highest -- the international world perceives Israeli and Jewish advocates as self-interested, so American non-Jewish/native voices carry the most persuasive weight; (2) allies from nations CLOSE to America (UK, Canada, Australia...) -- soft-ranked by how close that country is to the US; (3) other internationals; (4) ISRAELIS rank LOWEST as influencers, because international audiences discount them as biased. THIS IS NOT A HARD RULE -- see the influence-override clause. Andy and collaborators retain full control of any ranking."
Influence overrides nationality (override clause),Scoring,Influencer network,Override,"CHARISMA, INTELLIGENCE, and ACTUAL INFLUENCE are the GREATEST factors and OVERRIDE the nationality ranking. Andy and collaborators have full manual control of every score. Canonical example: Ollie Anisfeld (J-TV) is British AND Jewish -- doubly discounted by nationality -- but is charismatic, intelligent, media-savvy, good-looking, and fluent in both politics and theology, so he ranks high anyway (further helped by J-TV's largest audience being American). Nationality is a tiebreaker, not a ceiling."
"Israeli-content rule: mine the graph, not the reach",Methodology,Influencer network,Redirect to network mining,"For ISRAELI influencers, the value is less their own (discounted) persuasive reach than their GRAPH. What to look for in Israeli creators' content: WHO ARE THEIR FRIENDS -- who they host, who they collaborate with, who they comment on positively. Those relationships surface non-Israeli (ideally American, ideally non-Jewish) allies who rank higher than the Israeli creator themselves. Treat Israeli accounts as discovery instruments."
B2B network inclusion criteria,Inclusion Signal,Business network,Auto-include,"INCLUDE in the Business/B2B network any company or capital-management firm (VC, PE, growth equity, real estate, etc.) meeting ANY of: (a) has offices in Israel; (b) is invested in Israeli companies; (c) has a Jewish and/or Zionist and/or Evangelical and/or devout Protestant founder, president, CEO, chairman, vice president, or majority investor/stakeholder; (d) has acquired an Israeli company. Note the silent-majority principle applies -- these are structural/affiliation signals, and no public Israel statement is expected from a business."
Audience geography >= influencer nationality,Scoring,Influencer network,Weight by audience location,"MAP AUDIENCE GEOGRAPHY -- where the audience actually IS matters as much as, if not MORE than, the influencer's own nationality. A foreign influencer with a large AMERICAN audience delivers American persuasion; an American influencer whose audience is entirely overseas does not. This REFINES the nationality ranking: nationality is a weak proxy, audience geography is the real variable it was proxying for. Canonical case: Ollie Anisfeld is British and Jewish (doubly discounted by nationality) but J-TV's LARGEST AUDIENCE IS AMERICAN -- so his effective value is far higher than his passport implies. Record this in the Audience Geography field on every influencer."
Posted positively about Joshua Baer,Inclusion Signal,Business network,Add / consider for B2B,"Anyone who publicly posted POSITIVELY about Joshua Baer (Jewish Zionist founder/CEO of Capital Factory, killed in a plane crash 17 Jun 2026) is a candidate for the Business-leader and B2B network map -- along with their companies. Rationale: public tribute to a Jewish Zionist figure is a voluntary, self-initiated philosemitic signal from exactly the silent-majority business class that never posts about Israel directly. TIME-BOUNDED and high-yield: memorial posts cluster in the weeks after Jun 2026. First pass already yielded Jason Calacanis, Bill Gurley, Thom Singer, Jonathan Greenblatt, Ted Cruz (tracked), Bryan Chambers (tracked), Lloyd Doggett. NOTE: full enumeration needs social-listening tooling -- these came from published tribute coverage only."
Hyperlinked-source requirement,Data Ethics,All entities,Cite clickably,"Every claim should carry a CLICKABLE, credible source a human can verify -- not just a publication name and date. Sources and links render in a collapsible 'Sources & links' dropdown on each card (collapsed by default to avoid clutter). Entries with NO clickable source are auto-flagged with an amber warning on that dropdown. AUDIT (Jul 2026): 315 of 439 entities (72%) had no clickable URL -- mostly inherited from the original _5 seed file, which cited things like 'Jerusalem Post, Sep 2025'. Re-sourcing those is a tracked Backlog item. GOING FORWARD: no entry is added without a clickable source or an explicit unverified flag."
Audience demographics (sourced only),Methodology,Influencer network,Record where real,"Record audience demographics (age, gender, political lean, faith, geography) in the Audience Demographics field -- but ONLY from real sourced data (published reporting, Comscore/Nielsen/Pew figures, platform-disclosed stats), never invented. Claude does NOT have access to audience analytics; a full demographic pass across the network requires paid tooling (SparkToro, Audiense, Similarweb, Comscore). Any inference must be explicitly marked as inference. Rationale: fabricated demographics would look authoritative and quietly corrupt targeting decisions -- worse than an empty field."
Jews should NOT be publicly front-facing,Methodology,All entities,Elevate authentic Christian voices,"STRATEGIC PRINCIPLE from BFT board member Dana Gibber (interview, verbatim): 'having Jews publicly involved is not great actually... it should be an organic and internal effort of the Christian community to step into the light and be much more vocal and assertive about their views.' Jewish involvement stays behind the scenes; the public voice must be authentically Christian or the whole effort reads as astroturf and the 'Jews pulling the strings' accusation lands. Exception: a small handful of semi-public figures like Johnnie Moore. CONSEQUENCE FOR SCORING: American, non-Jewish, authentically Christian voices are the scarce, high-value asset -- this is the deeper reason behind the nationality ranking and the voluntary-advocacy rule, not merely optics."
Asymmetric strategy: humor beats fact-checking,Methodology,Influencer network,Boost humor/culture assets,"JOHNNIE MOORE (interview, verbatim): 'disinformation... is not actually about the facts. It's about community. It's about who you trust and what you believe and what community you feel a part of.' 'These sorts of asymmetric strategies are what we're missing in this whole thing.' He credits the BABYLON BEE with ~30% more success than anyone else simply by being funny and smart. IMPLICATION: comedians, satirists, and culture/meme accounts are STRATEGIC ASSETS, not light entertainment -- score them accordingly. Fact-checking is necessary hygiene but does not win. (Validates Seth Dillon 92, Ami Kozak 87; argues for actively recruiting more comedy/culture talent.)"
Podcast gap: leg-1 concrete target,Inclusion Signal,Influencer network,Priority target profile,"JOHNNIE MOORE's explicit, concrete leg-1 ask: evangelicals UNDER-INDEX in podcasting while Catholics and libertarians OVER-INDEX. He wants to 'immediately find 20 folks who have significant audiences [but are] just not there, and move them into that space.' TARGET PROFILE: has real audience + evangelical + NOT currently podcasting. This is a named deliverable, not a vague goal -- flag every candidate who fits and track toward 20."
Grassroots community = bottom-up tactics,Methodology,All entities,Shapes strategy,"JOHNNIE MOORE: the evangelical community is GRASSROOTS and bottom-up -- 'very much like a free market.' No leader can endorse something and cascade it downward (upside: no single point of failure; downside: momentum is hard to create). It is HIGH-TRUST, so once momentum exists it is 'super high leverage.' CONSEQUENCE: do not over-weight formal titles/hierarchy. A megachurch's influential lay attorney may matter more than a denominational officer -- which is exactly why Johnnie wants strategic LAY MEMBERS mapped, not just clergy."
[UNBUILT] Strategic-cities lay-member database,To-Do,All entities,Major gap,"JOHNNIE MOORE DESCRIBED A DATABASE WE HAVE NOT BUILT. His vision: (1) pick ~20 STRATEGIC CITIES worldwide (Sao Paulo, Santiago, Brussels, Geneva...); (2) map the LARGE CHURCHES in each; (3) identify the strategic LAY MEMBERS/ATTENDEES -- 'what no one has done before' -- top attorneys, doctors, school-board members, NOT the clergy; (4) index them BY SECTOR (education, law, medicine, safety) for RAPID ACTIVATION. Use case: an antisemitic incident in Chile -> you already know an aligned attorney attends a large church there who could be pro bono counsel. His Oct-8 lament: had we reached strategic allies across 5-7 sectors that afternoon, we could have countered the street mobilization. He expects to hire regional researchers (South America, Africa). CURRENT DATABASE IS: US-centric, media-influencer-centric, public-figure-centric. HIS VISION IS: global, church-based, lay-professional, sector-indexed. Complementary but different -- this is the biggest strategic gap in the project."
Seed-100 portfolio model,Methodology,Influencer network,Portfolio strategy,"ANDY'S STRATEGY (Jul 2026), and the right answer to BFT's donors: do NOT try to pick the perfect 20 up front. SEED ~100 untapped/undiscovered influencers, measure who performs, then BACK THE WINNERS. This is venture logic -- exactly how BFT's founders (Rad/Weir/Broukhim/Duel) already think -- and it answers the donor objection ('we put money into evangelicals and did not see returns') far better than a hand-picked list: it makes returns MEASURABLE and concentrates spend only on proven performers. Pipeline stages tracked in Seed Stage: Candidate -> Seeded -> Performing -> Backed (or Dropped). Baseline Audience is captured at seed time so growth is measurable, not asserted."
Leg-1 target profile: audience WITHOUT a podcast,Inclusion Signal,Influencer network,Prime seed candidate,"Johnnie Moore's exact ask: evangelicals under-index in podcasting while Catholics/libertarians over-index; find people who ALREADY have significant audiences but are NOT in that space, and move them into it. Operationalized as the Podcast Status field -- 'No podcast (TARGET)' marks the profile. KEY INSIGHT: the hard part is not building an audience, it is MOVING an existing audience into a format they do not yet occupy -- which is why an established 4M-follower TikToker with no podcast beats a nobody with a microphone. As of Jul 2026 the database already contained 60 such candidates."
Audience numbers must be LIVE-VERIFIED,Data Ethics,Influencer network,"Measure, do not assert","AUDIT FINDING (14 Jul 2026): audience figures taken from articles/bios/wikis are stale or wrong. Live checks found Dave Rubin at 3.22M (recorded: 2M+), Ollie Anisfeld/J-TV at 449K (recorded: 250K, from a Jerusalem Post piece), Goldie Ghamari at 436K TikTok + 221K YouTube (recorded: no number), and Lance Johnston at 2,148 TikTok followers vs a recorded '100K+ TikTok' -- WRONG BY ~50x, sourced from EverybodyWiki. WHAT IS FETCHABLE: YouTube (subs, views, join date) and TikTok (followerCount). WHAT IS NOT: X/Twitter (JS-rendered), Instagram (not trivially parseable), Social Blade (403). RULE: record the handle in Links, run tools/refresh_audience.py, and stamp Audience Verified with the date. Audience size drives the seed-100 'back the winners' model -- it must be measured, not asserted. NEVER cite an unvetted wiki for a follower count."
YouTube is a discovery channel (not just a metric source),Methodology,Influencer network,Enables discovery,"CORRECTION to an earlier stated limit: YouTube channel SEARCH is fetchable and parseable (results?search_query=...&sp=EgIQAg%3D%3D filters to channels only), returning channel names + handles + subscriber counts. So YouTube-native discovery of unknown creators IS possible -- it is not limited to bounded rosters. Caveats: query craft matters enormously (naive queries return noise), and it surfaces adversaries as well as allies. This partially closes the discovery gap for the seed-100 pass. X/Twitter discovery remains blocked."
Nurture / Emerging category,Methodology,All people,Track pre-confirmation,"NEW TAB (Andy, Jul 2026). NURTURE holds people NOT yet confirmed pro-Israel/philosemitic but whose background suggests they likely would be IF ASKED -- plus rising talent and flip targets. Four types: (1) 'Likely ally (unasked)' -- profile fits, never asked; (2) 'Rising/emerging (<50K)' -- under 50K followers across platforms, i.e. back them BEFORE they break out (seed-100 logic one tier down); (3) 'Flip target' -- currently adverse but potentially movable; (4) 'Watch'. CRITICAL DISCIPLINE: nurture is NOT a laundering bucket. A flip target with a documented adverse signal (e.g. @Ariathome supporting Mamdani) stays RED-FLAGGED inside nurture -- 'potential flip' and 'likely ally' are different things and must not be blurred."
Rising/emerging threshold: <50K followers,Scoring,Nurture,Categorize,"ANDY'S RULE: anyone under ~50K followers across platforms goes in Nurture as Rising/Emerging rather than the main Influencer tab. Rationale: the cheapest time to build a relationship is before someone breaks out -- the same portfolio logic as seed-100, applied earlier. Graduate them to Influencers when they cross the threshold or when their alliance value is confirmed."
Boost: attacking Candace Owens / Tucker Carlson / Nick Fuentes / Sneako,Inclusion Signal,All people,Strong boost,"BOOST anyone who publicly attacks Candace Owens, Tucker Carlson, Nick Fuentes, or Sneako -- the four named antisemitic/Israel-hostile poles of the online right (all tracked hostile here). Rationale: attacking them is a costly, voluntary act INSIDE the conservative coalition -- it invites retaliation from one's own side, so it signals conviction, not convenience. Combine with the voluntary-vs-paid rule: doing it on one's OWN platform scores highest. (Seth Dillon 92 -- called Tucker and Candace 'the two most famous antisemites'; Ami Kozak 87 -- satirizes all of them; Jamie Michell; Graham Allen.)"
Yellow ribbon / blue square signal,Inclusion Signal,All people,Lean pro / add,"ANDY'S RULE: anyone seen wearing the YELLOW RIBBON (Israeli hostages) or the BLUE SQUARE pin (#StandUpToJewishHate) is a positive signal -- add and lean pro. Why it is a good signal: both are cheap to omit and visible to wear, so wearing one is a small voluntary public act, especially outside Jewish spaces. LIMIT: this is a VISUAL signal in photos/video, which Claude cannot detect -- it can only be applied by a human reviewer or image-recognition tooling. Documented as a rule for humans, not something running automatically."
Replacement theology = structural red flag,Flag Rule,All people,Red flag despite pro statements,"Surfaced by the Doug Wilson case (Andy, Jul 2026). Someone can express support for Israel and the Jewish people while holding REPLACEMENT THEOLOGY / supersessionism -- the doctrine that the Church supersedes Israel in God's covenant. That support is structurally unstable: it is not grounded in a permanent covenant and can invert. This is the theological ROOT of the drift Johnnie Moore is fighting, so it is a red flag despite pro-sounding statements -- distinct from dispensationalist/Christian-Zionist allies whose support is covenantal. CHECK THEOLOGY, NOT JUST STATEMENTS."
Congressional sweep = evidence-based politics,Methodology,Political,"Measure, do not judge","CORRECTION OF A REAL GAP (14 Jul 2026): the Political tab held only 22 entries -- assembled ad hoc from Andy's LinkedIn follows and the IAF Top-50 -- and was missing obvious allies like Dan Crenshaw. FIX: legislators are now added from their ACTUAL LEGISLATIVE RECORD via the official Library of Congress API (api.congress.gov), which returns bill cosponsor rosters as clean JSON. congress.gov's website is Cloudflare-blocked (403) but the API is not; GovTrack also works. METHOD: pull cosponsor lists for major pro-Israel bills; anyone cosponsoring 2+ is added with the bills as citable evidence; original-cosponsor status is a stronger signal than late joining. This is exactly the Liberty Score principle -- a score decomposable into documented acts ('which bills, which votes') rather than judgment. LIMIT: the DEMO_KEY rate-limits after ~2 bills; a FREE api.congress.gov key would enable the full sweep across every Israel-related bill and both chambers."
RED LINE: voted against Israel defense funding,Flag Rule,"All public officials, past and present",Hostile / disqualifying,"Andy's rule, verbatim: 'any public official who voted against Defense funding for Israel crosses a red line.' EXECUTED 15 Jul 2026 against the primary source: House Clerk roll-call XML (clerk.house.gov/evs), 6,332 roll calls scanned 2015-2026. The two clean defense-funding tests are H.R.5323 (Iron Dome Supplemental, 23 Sep 2021, passed 420-9-2) and H.R.8034 (Israel Security Supplemental, 20 Apr 2024, passed 366-58). 60 legislators voted NO on at least one. CRITICAL: the rule may NOT be applied literally -- see the disambiguation criterion below."
Vote-pattern disambiguation: a single NO is NOT proof of hostility,Methodology,Every red-line determination,Prevents false positives,"THE MOST IMPORTANT METHODOLOGICAL RULE IN THE POLITICAL DATASET. Applied literally, the red-line rule flags 60 legislators. Only 13 survive scrutiny. The other 47 are deficit hawks and process voters who oppose emergency supplemental spending generally, not Israel. Proof: Chip Roy voted YEA on Iron Dome and is 90.9% pro-Israel across 30 clean votes; Jamie Raskin 95.8%; Ro Khanna 96.0%; Scott Perry 96.7%. Each voted NO once, on H.R.8034, an unoffset emergency supplemental. RULE: never red-line on a single vote. Compute the pro-Israel rate across all 30 clean votes. Under 75% = Tier 1 GENUINE (hostile). 75-90% = Tier 2 REVIEW (human call). Over 90% = Tier 3 FISCAL (do NOT red-line). Thomas Massie is the case that proves the method works: 51.7%, the ONLY Republican among the nine Iron Dome NO votes, NO again in 2024 -- the pattern separates him from every other Republican fiscal hawk."
Confounded votes are excluded from scoring,Methodology,Roll-call analysis,Data quality,"Of 55 Israel-related roll calls, only 30 are CLEAN tests where a NO vote is a real signal. EXCLUDED as confounded: H.R.7217 (Feb 2024 -- a standalone Israel bill widely read as a maneuver to kill the bipartisan Senate package; Democratic NOs were about the maneuver); H.R.6090 Antisemitism Awareness Act (First Amendment objections from BOTH left and right -- Massie, Greene, Gaetz voted no on 1A grounds); H.Res.894 (92 Democrats voted PRESENT objecting to equating anti-Zionism with antisemitism, not to condemning antisemitism); the three Tlaib censure votes (process objections from members who are themselves pro-Israel); and all rule/previous-question votes (pure party-line noise). H.Res.183 (2019) is INVERTED: its 23 NO votes were Republicans who thought the post-Omar resolution too weak -- a NO there is arguably PRO-Israel."
Voting records find ENEMIES; they cannot rank ALLIES,Methodology,Political tab; Alliance Score,Scoring limit,"MEASURED FINDING, and it should shape strategy. 236 legislators have a perfect 100% record across 20+ clean Israel votes. 50 of our own 96 political entries are 100% voters, Dan Crenshaw among them at 21/21. Pro-Israel measures pass 420-9. Therefore a perfect voting record is the NORM, not a distinction -- it confirms an ally but does not differentiate one from another. All discriminating power in roll-call data is in the DEVIATIONS. Corollary: do not spend Alliance Score bandwidth on vote-based ally ranking; use votes as a disqualifier and a floor, and rank allies on reach, charisma, and willingness to spend political capital -- which is what Johnnie's 'less sentimental, more substantive' standard actually asks for."
